point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
214,34956,34510,37665,37522,25408,24594,25389,24597
215,34956,34521,37671,37528,25403,24595,25381,24573
216,34954,34533,37660,37543,25404,24603,25371,24578
217,34958,34545,37672,37563,25401,24613,25362,24594
218,34968,34537,37663,37569,25406,24607,25378,24594
219,34980,34549,37662,37551,25396,24609,25378,24589
220,34972,34549,37646,37526,25396,24617,25371,24584
221,34978,34550,37648,37512,25397,24612,25374,24579
222,34968,34582,37651,37505,25398,24604,25371,24583
223,34968,34603,37651,37503,25392,24600,25366,24585
224,34969,34597,37664,37508,25383,24602,25354,24575
225,34962,34588,37667,37512,25384,24598,25362,24572
226,34957,34574,37663,37508,25388,24596,25366,24578
227,34971,34586,37651,37506,25391,24595,25362,24574
228,34948,34592,37644,37500,25382,24585,25370,24561
229,34938,34593,37649,37505,25381,24606,25369,24578
230,34947,34608,37632,37486,25386,24612,25365,24560
231,34953,34601,37640,37488,25383,24605,25364,24555
232,34943,34588,37645,37482,25387,24598,25355,24564
233,34949,34602,37650,37482,25389,24587,25356,24569
234,34943,34606,37653,37468,25388,24583,25356,24568
235,34950,34587,37639,37481,25389,24570,25357,24573
236,34928,34579,37615,37457,25376,24581,25361,24584
237,34939,34580,37607,37437,25376,24583,25359,24573
238,34942,34571,37604,37431,25370,24576,25358,24560
239,34932,34598,37600,37431,25378,24581,25353,24560
240,34926,34600,37589,37401,25380,24579,25353,24565
241,34927,34590,37596,37407,25370,24588,25357,24571
242,34932,34585,37595,37410,25371,24594,25358,24569
243,34936,34580,37590,37402,25377,24585,25351,24559
244,34921,34590,37574,37414,25380,24583,25345,24562
245,34909,34573,37562,37412,25374,24575,25337,24559
246,34903,34574,37568,37419,25369,24584,25336,24552
247,34910,34544,37586,37427,25374,24585,25340,24545
248,34911,34551,37582,37430,25362,24583,25339,24550
249,34931,34563,37571,37447,25367,24574,25346,24548
250,34920,34571,37573,37442,25367,24567,25346,24560
251,34919,34574,37570,37427,25372,24575,25346,24556
252,34910,34550,37562,37391,25367,24581,25337,24540
253,34910,34547,37544,37351,25366,24581,25337,24544
254,34912,34539,37522,37349,25361,24568,25336,24543
255,34915,34536,37524,37341,25363,24562,25344,24561
256,34905,34544,37528,37330,25353,24578,25328,24552
257,34905,34540,37541,37334,25361,24568,25337,24542
258,34908,34530,37539,37352,25361,24569,25330,24543
259,34900,34530,37533,37370,25366,24566,25345,24533
260,34902,34531,37525,37375,25365,24568,25332,24534
261,34901,34534,37508,37357,25361,24580,25332,24529
262,34878,34522,37505,37340,25363,24567,25332,24539
263,34869,34510,37504,37327,25361,24566,25336,24545
264,34879,34520,37502,37340,25358,24572,25329,24542
265,34872,34511,37493,37339,25355,24556,25340,24525
266,34871,34501,37476,37321,25351,24565,25326,24533
267,34876,34515,37481,37322,25356,24565,25334,24545
268,34866,34535,37467,37309,25361,24567,25332,24540
269,34871,34536,37470,37292,25355,24555,25325,24551
270,34894,34527,37474,37284,25355,24571,25335,24551
271,34892,34509,37468,37284,25360,24571,25337,24544
272,34884,34529,37464,37277,25354,24570,25336,24535
273,34886,34531,37463,37282,25360,24577,25330,24534
274,34880,34517,37464,37274,25354,24570,25333,24538
275,34878,34534,37455,37282,25353,24569,25335,24541
276,34881,34535,37438,37269,25352,24573,25325,24561
277,34884,34520,37455,37270,25350,24568,25320,24558
278,34892,34512,37454,37261,25346,24559,25322,24570
279,34899,34517,37460,37260,25345,24552,25322,24560
280,34881,34526,37453,37272,25345,24553,25313,24553
281,34892,34524,37450,37265,25339,24557,25315,24542
282,34892,34520,37442,37251,25353,24564,25323,24545
283,34882,34519,37443,37254,25361,24563,25323,24523
284,34882,34519,37449,37279,25354,24548,25317,24533
285,34890,34526,37453,37263,25346,24552,25317,24535
286,34890,34525,37441,37255,25345,24548,25317,24542
287,34870,34504,37447,37251,25344,24562,25319,24546
288,34854,34485,37434,37248,25338,24548,25323,24530
289,34847,34481,37442,37250,25338,24535,25313,24532
290,34848,34460,37452,37251,25342,24533,25312,24526
291,34859,34465,37461,37267,25342,24550,25316,24513
292,34858,34475,37452,37266,25347,24556,25320,24518
293,34840,34471,37462,37295,25338,24564,25322,24551
294,34851,34473,37477,37301,25337,24567,25317,24530
295,34860,34477,37474,37305,25352,24572,25315,24533
296,34848,34460,37448,37305,25340,24549,25317,24546
297,34854,34455,37443,37293,25337,24546,25315,24538
298,34845,34462,37454,37275,25332,24552,25319,24535
299,34847,34455,37454,37286,25338,24553,25314,24534
300,34847,34441,37461,37280,25338,24547,25320,24535
301,34848,34451,37458,37256,25351,24557,25324,24537
